case;name;timeframe;matched_control190;matched_control200;entry;extra_enabled;extra_requires_close_above_SMA200;extra_requires_rising_SMA200;extra_ADX_period;extra_min_ADX;extra_plus_DI_above_minus_DI;extra_fast310_above_previous;EMA_period;SMA_middle;SMA_long;ATR_period;minimum_entry_distance_ATR;minimum_structural_stop_ATR;maximum_structural_stop_ATR;stop_buffer_ATR;stop_lookback_closed_bars;target_R;requested_fixed_lot;capital_mode;partial;adds;breakeven;reinvest;status
1;HERMES_REFERENCIA;M30;2;1;ORIGINAL;False;False;False;14;20;False;False;21;50;200;14;0.5;1.0;2.5;0.2;3;5;1.0;EXACT_FIXED_LOT;False;0;False;False;PROGRAMADO_NAO_EXECUTADO
2;HERMES_PIVO_CONTINUIDADE;M30;2;1;ORIGINAL_OR_CAUSAL_LONG_123;True;True;True;14;20;True;True;21;50;200;14;0.5;1.0;2.5;0.2;3;5;1.0;EXACT_FIXED_LOT;False;0;False;False;PROGRAMADO_NAO_EXECUTADO
3;HERMES_PIVO_INICIO;M30;2;1;ORIGINAL_OR_CAUSAL_LONG_123;True;False;False;14;20;True;True;21;50;200;14;0.5;1.0;2.5;0.2;3;5;1.0;EXACT_FIXED_LOT;False;0;False;False;PROGRAMADO_NAO_EXECUTADO
