case;name;profit;final_balance;cycles_closed;cycle_win_percent;cycle_profit_factor;equity_dd_relative_percent;equity_dd_max_money;equity_percent_at_max_money_dd;swap;hp_pivot_fills;net_trade_increase_vs_reference;profit_delta_vs_reference;negative_complete_months;negative_observed_months
1;HERMES_REFERENCIA;204912.54;214912.54;261.0;26.05363985;2.01257618;42.76052644;29778.3;13.18856091;-17865.66;0.0;0;0.0;17;17
2;HERMES_PIVO_CONTINUIDADE;191523.99;201523.99;299.0;25.4180602;1.79891011;43.57800074;34410.58;15.89377686;-19737.81;58.0;38;-13388.55;22;22
3;HERMES_PIVO_INICIO;169116.06;179116.06;342.0;24.56140351;1.58594518;36.85409276;55534.4;24.69182351;-21182.04;111.0;81;-35796.48;18;19
