pass;case;name;signal_tf;valid_run;profit;deposit;final_balance;mt5_trades;mt5_profit_factor;equity_dd_relative_percent;equity_dd_max_money;equity_percent_at_max_money_dd;cycles_opened;cycles_closed;cycle_wins;cycle_losses;cycle_zero;cycle_win_percent;cycle_profit_factor;cycle_net;average_net_R_initial;max_consecutive_losses;average_hold_hours;max_hold_hours;swap;commission_and_fees;max_open_lots;max_stop_risk_money;max_stop_risk_percent;max_margin;first_evaluation;last_evaluation;first_entry;last_exit;bars_seen;signals_before_filters;first_ready;origin15_cycles;origin14_cycles;origin15_net;origin14_net;BE_armed;BE_confirmed;BE_stop_exits;partial_armed;partial_done;partial_deferrals;BE_deferrals;session_deferrals;stop_freeze_deferrals;BE_requests;partial_requests;ambiguous_partials;error_code;last_retcode;last_error_time;reconcile_difference;monthly_equity_reconcile_difference;monthly_booked_reconcile_difference;unmatched_deals;months_observed;positive_equity_months;negative_equity_months;positive_booked_months;negative_booked_months;mean_MFE_R;mean_winner_MFE_R;mean_loser_MFE_R;mean_MAE_R;path_quote_observations;shadow_original_control;fixed_lot;BE_trigger_R;origin_mode;protect14;BE_unfulfilled;partial_unfulfilled;empty_paths;maximum_monthly_DD_percent;add_fills;cycles_with_add;net_cycles_with_add;add_rejections;risk_blocks;initial_stop_factor;reinvestment_enabled;management_arm;initial_lots_sum;add_lots_sum;pivot_buy_candidates;pivot_sell_candidates;entry_policy;reinvestment_fraction;reinvestment_lot_cap;capital_mode;matched_control190;detail_export_enabled;exported_bar_rows;risk_percent;margin_cap_percent;donchian_mode;source_control180;fixed_lot_mode;target_unit_code;target_value;fixed_target_distance_price;nominal_target_R;target_rejections;target_cap_adjustments;target_cap_failures;fixed_volume_rejections;hp_candidates;hp_extra_eligible;hp_base_selected;hp_pivot_selected;hp_pivot_fills;hp_data_failure_bars;hp_extra_position_blocks;hp_historical_catchup_candidates_discarded;G_NO_DATA;G_BASE;G_DIRECTION;G_DISTANCE;G_REGIME;G_POSITION;G_SPREAD;G_STOP;G_BROKER_STOPS;G_RISK;G_MARGIN_ERROR;G_MARGIN_BLOCK;G_REJECTED;G_FILLED;G_HALTED;G_ENTRY_FILTER;G_TARGET
"0";"1";"HERMES_REFERENCIA";"M30";"1.00000000";"204912.54000000";"10000.00000000";"214912.54000000";"261.00000000";"2.01257618";"42.76052644";"29778.30000000";"13.18856091";"261.00000000";"261.00000000";"68.00000000";"193.00000000";"0.00000000";"26.05363985";"2.01257618";"204912.54000000";"0.48601170";"13.00000000";"28.13305343";"525.79500000";"-17865.66000000";"0.00000000";"1.00000000";"5700.60000000";"14.61839633";"5287.55000000";"2022.01.02 23:05:00";"2026.09.11 20:30:00";"2022.01.12 06:00:00";"2026.08.25 02:05:58";"55498.00000000";"1070.00000000";"2022.01.02 23:05:00";"261.00000000";"0.00000000";"204912.54000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"10018.00000000";"2025.02.24 18:30:00";"0.00000000";"-0.00000000";"-0.00000000";"0.00000000";"57.00000000";"37.00000000";"17.00000000";"36.00000000";"18.00000000";"2.09838893";"5.00378981";"1.07472437";"-0.86275196";"42789376.00000000";"1.00000000";"1.00000000";"0.00000000";"15.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"32.04704283";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"1.00000000";"0.00000000";"0.00000000";"261.00000000";"0.00000000";"145.00000000";"119.00000000";"0.00000000";"0.00000000";"1.00000000";"3.00000000";"2.00000000";"1.00000000";"55498.00000000";"0.00000000";"0.00000000";"0.00000000";"3.00000000";"1.00000000";"0.00000000";"5.00000000";"0.00000000";"5.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"761.00000000";"0.00000000";"1070.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"43258.00000000";"1059.00000000";"86.00000000";"211.00000000";"10394.00000000";"0.00000000";"221.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"8.00000000";"261.00000000";"0.00000000";"0.00000000";"0.00000000"
"1";"2";"HERMES_PIVO_CONTINUIDADE";"M30";"1.00000000";"191523.99000000";"10000.00000000";"201523.99000000";"299.00000000";"1.79891011";"43.57800074";"34410.58000000";"15.89377686";"299.00000000";"299.00000000";"76.00000000";"223.00000000";"0.00000000";"25.41806020";"1.79891011";"191523.99000000";"0.44899094";"10.00000000";"28.32541527";"525.79500000";"-19737.81000000";"0.00000000";"1.00000000";"5700.60000000";"16.97722805";"5287.55000000";"2022.01.02 23:05:00";"2026.09.11 20:30:00";"2022.01.12 06:00:00";"2026.08.25 02:05:58";"55498.00000000";"1242.00000000";"2022.01.02 23:05:00";"299.00000000";"0.00000000";"191523.99000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"10018.00000000";"2026.02.27 21:00:00";"0.00000000";"0.00000000";"-0.00000000";"0.00000000";"57.00000000";"34.00000000";"22.00000000";"34.00000000";"22.00000000";"2.08164453";"5.00351446";"1.08585030";"-0.87118254";"47323642.00000000";"0.00000000";"1.00000000";"0.00000000";"15.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"33.82286719";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"1.00000000";"0.00000000";"0.00000000";"299.00000000";"0.00000000";"145.00000000";"119.00000000";"0.00000000";"0.00000000";"1.00000000";"3.00000000";"2.00000000";"1.00000000";"55498.00000000";"0.00000000";"0.00000000";"0.00000000";"3.00000000";"1.00000000";"0.00000000";"5.00000000";"0.00000000";"5.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"761.00000000";"234.00000000";"1070.00000000";"172.00000000";"58.00000000";"0.00000000";"87.00000000";"0.00000000";"0.00000000";"41913.00000000";"1057.00000000";"83.00000000";"202.00000000";"11696.00000000";"0.00000000";"237.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"11.00000000";"299.00000000";"0.00000000";"0.00000000";"0.00000000"
"2";"3";"HERMES_PIVO_INICIO";"M30";"1.00000000";"169116.06000000";"10000.00000000";"179116.06000000";"342.00000000";"1.58594518";"36.85409276";"55534.40000000";"24.69182351";"342.00000000";"342.00000000";"84.00000000";"258.00000000";"0.00000000";"24.56140351";"1.58594518";"169116.06000000";"0.40185328";"12.00000000";"27.15443551";"525.79500000";"-21182.04000000";"0.00000000";"1.00000000";"7220.20000000";"12.20829109";"5287.55000000";"2022.01.02 23:05:00";"2026.09.11 20:30:00";"2022.01.11 00:30:00";"2026.09.10 07:29:06";"55498.00000000";"1328.00000000";"2022.01.02 23:05:00";"342.00000000";"0.00000000";"169116.06000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"10018.00000000";"2026.02.27 21:00:00";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"57.00000000";"38.00000000";"19.00000000";"39.00000000";"18.00000000";"2.03190232";"5.00333215";"1.06446005";"-0.87554075";"51554199.00000000";"0.00000000";"1.00000000";"0.00000000";"15.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"25.97039051";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"1.00000000";"0.00000000";"0.00000000";"342.00000000";"0.00000000";"145.00000000";"119.00000000";"0.00000000";"0.00000000";"1.00000000";"3.00000000";"2.00000000";"1.00000000";"55498.00000000";"0.00000000";"0.00000000";"0.00000000";"3.00000000";"1.00000000";"0.00000000";"5.00000000";"0.00000000";"5.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"761.00000000";"320.00000000";"1070.00000000";"258.00000000";"111.00000000";"0.00000000";"100.00000000";"0.00000000";"0.00000000";"40873.00000000";"1054.00000000";"82.00000000";"148.00000000";"12737.00000000";"0.00000000";"249.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"13.00000000";"342.00000000";"0.00000000";"0.00000000";"0.00000000"
